purchase_monthYear,monthlyOrder,montlyRevenue
2016-09,4,354.75
2016-10,324,56808.840000000004
2016-12,1,19.62
2017-01,800,137188.49
2017-02,1780,286280.62
2017-03,2682,432048.59
2017-04,2404,412422.24
2017-05,3700,586190.95
2017-06,3245,502963.04
2017-07,4026,584971.62
2017-08,4331,668204.6
2017-09,4285,720398.91
2017-10,4631,769312.37
2017-11,7544,1179143.77
2017-12,5673,863547.23
2018-01,7269,1107301.89
2018-02,6728,986908.96
2018-03,7211,1155126.82
2018-04,6939,1159698.04
2018-05,6873,1149781.82
2018-06,6167,1022677.11
2018-07,6292,1058728.03
2018-08,6512,1003308.47
2018-09,16,166.46
2018-10,4,0.0
