product_category_name,totalOrder,totalProducts,totalRevenue
beleza_saude,8836,9975,1486023.75
relogios_presentes,5624,6201,1357478.82
cama_mesa_banho,9417,11823,1310284.1300000001
esporte_lazer,7720,8945,1198524.35
informatica_acessorios,6689,8082,1095456.98
moveis_decoracao,6449,8744,946593.12
utilidades_domesticas,5884,7355,820851.24
cool_stuff,3632,3987,750150.02
automotivo,3897,4379,712442.08
ferramentas_jardim,3518,4574,623851.98
brinquedos,3886,4273,581280.09
bebes,2885,3196,506010.22000000003
perfumaria,3162,3560,469112.3
telefonia,4199,4721,413564.32
moveis_escritorio,1273,1778,357621.51
papelaria,2311,2617,287860.0
pet_shop,1710,2028,264128.48
pcs,181,220,253374.41
instrumentos_musicais,628,718,230543.23
eletroportateis,630,701,217658.94
eletronicos,2550,2845,214698.38
fashion_bolsas_e_acessorios,1864,2151,195889.57
consoles_games,1062,1191,186999.86
malas_acessorios,1034,1163,180577.27
construcao_ferramentas_construcao,748,951,168069.75
eletrodomesticos_2,234,268,135642.58
casa_construcao,490,634,102080.61
eletrodomesticos,764,788,97411.45
moveis_sala,422,528,91958.19
agro_industria_e_comercio,182,252,90808.77
casa_conforto,397,475,73655.84
telefonia_fixa,217,271,66465.41
climatizacao,253,302,62810.88
moveis_cozinha_area_de_servico_jantar_e_jardim,248,298,61118.13
audio,350,380,58430.16
livros_interesse_geral,512,565,57627.88
portateis_casa_forno_e_cafe,75,78,51830.37
construcao_ferramentas_iluminacao,244,313,49474.18
industria_comercio_e_negocios,235,271,48012.54
construcao_ferramentas_seguranca,167,199,45966.24
alimentos,450,526,37649.99
market_place,280,332,35188.63
construcao_ferramentas_jardim,194,245,31678.78
fashion_calcados,240,274,29703.079999999998
artes,202,219,28912.99
bebidas,297,386,28722.22
sinalizacao_e_seguranca,140,201,28120.83
moveis_quarto,95,125,27429.87
livros_tecnicos,260,270,23607.91
alimentos_bebidas,227,289,21091.48
construcao_ferramentas_ferramentas,97,105,18155.420000000002
fashion_roupa_masculina,112,145,13974.210000000001
fashion_underwear_e_moda_praia,121,144,12419.06
artigos_de_natal,128,155,12079.84
tablets_impressao_imagem,79,87,9140.68
cine_foto,65,73,8208.95
dvds_blu_ray,59,71,7889.99
musica,38,40,6973.59
moveis_colchao_e_estofado,38,41,6548.53
livros_importados,53,62,5661.13
artigos_de_festas,39,46,5636.43
portateis_cozinha_e_preparadores_de_alimentos,14,15,4278.29
fashion_roupa_feminina,39,48,3425.39
fashion_esporte,27,30,2697.64
la_cuisine,13,16,2690.87
artes_e_artesanato,23,24,2184.1400000000003
fraldas_higiene,27,39,2141.27
pc_gamer,8,10,1824.5900000000001
flores,29,33,1598.91
casa_conforto_2,24,31,1194.44
cds_dvds_musicais,12,14,954.99
fashion_roupa_infanto_juvenil,8,8,665.36
seguros_e_servicos,2,2,324.51
