customer_state,orders,avg_delivery_days,late_orders,late_delivery_rate
AC,81,21.04,3,3.7
AL,413,24.54,95,23.0
AM,148,26.43,6,4.05
AP,68,27.19,3,4.41
BA,3380,19.34,457,13.52
CE,1336,21.27,196,14.67
DF,2140,12.97,147,6.87
ES,2033,15.79,244,12.0
GO,2020,15.61,160,7.92
MA,747,21.57,141,18.88
MG,11635,12.01,638,5.48
MS,715,15.62,81,11.33
MT,907,18.06,60,6.62
PA,975,23.77,117,12.0
PB,536,20.43,57,10.63
PE,1652,18.45,172,10.41
PI,495,19.46,76,15.35
PR,5045,11.99,246,4.88
RJ,12852,15.31,1664,12.95
RN,485,19.28,51,10.52
RO,253,19.37,7,2.77
RR,46,29.39,5,10.87
RS,5466,15.3,382,6.99
SC,3637,14.96,346,9.51
SE,350,21.52,51,14.57
SP,41746,8.76,2387,5.72
TO,280,17.66,35,12.5
