customer_state,totalOrder,totalRevenue,revenuePercent
SP,41746,5921678.12,37.38
RJ,12852,2129681.98,13.44
MG,11635,1856161.49,11.72
RS,5466,885826.76,5.59
PR,5045,800935.44,5.06
BA,3380,611506.67,3.86
SC,3637,610213.6,3.85
DF,2140,353229.44,2.23
GO,2020,347706.93,2.19
ES,2033,324801.91,2.05
PE,1652,322237.69,2.03
CE,1336,275606.3,1.74
PA,975,217647.11,1.37
MT,907,186168.96,1.18
MA,747,151171.99,0.95
PB,536,140987.81,0.89
MS,715,135956.67,0.86
PI,495,108132.28,0.68
RN,485,101895.08,0.64
AL,413,96229.4,0.61
SE,350,73032.32,0.46
TO,280,61354.42,0.39
RO,253,57558.02,0.36
AM,148,27835.73,0.18
AC,81,19669.7,0.12
AP,68,16262.8,0.1
RR,46,10064.619999999999,0.06
