feature,importance
num__estimated_delivery_days,0.16868176195093101
num__approval_delay_hours,0.11871245748816063
num__purchase_month,0.113975550668675
num__total_freight,0.1105911477969542
num__total_order_value,0.10704334531816666
num__total_price,0.10346850934063956
num__purchase_hour,0.0818865703574766
num__purchase_day_of_week,0.054579907067828275
cat__customer_state_SP,0.012677569654452964
num__item_count,0.010887140820314318
cat__customer_state_RJ,0.010101483323478573
cat__customer_state_MG,0.00844884947281522
cat__seller_state_SP,0.008082589913328357
num__same_state,0.007910370353087857
cat__customer_state_PR,0.005145861019804294
cat__customer_state_BA,0.005084679682011699
cat__seller_state_MG,0.0047622088180218364
num__unique_categories,0.004629815817373607
cat__seller_state_PR,0.004515745694487344
cat__customer_state_RS,0.00449148497587686
cat__seller_state_RJ,0.004347712163106072
cat__customer_state_SC,0.0039382804977531405
cat__seller_state_SC,0.0034378453488195806
cat__seller_state_MA,0.0032200995706117464
cat__customer_state_DF,0.0029029279007787775
cat__customer_state_ES,0.0028978291863726363
cat__customer_state_PE,0.0027776859523859416
cat__customer_state_AL,0.002753779436195117
cat__customer_state_CE,0.0027511512896667436
cat__customer_state_GO,0.002651122745182528
cat__customer_state_MA,0.0024320319440957355
cat__seller_state_RS,0.0022002430758196793
cat__customer_state_PA,0.0019206123630246504
cat__customer_state_MS,0.0016288886605035386
cat__customer_state_PI,0.0015751199113299907
cat__customer_state_MT,0.001554370129942201
cat__customer_state_PB,0.0013996962427899318
cat__seller_state_DF,0.0013530924878300777
cat__customer_state_SE,0.001167480920476708
cat__customer_state_RN,0.0011615608232464225
cat__seller_state_BA,0.0009749528606213094
cat__seller_state_GO,0.0007865345479794144
cat__customer_state_TO,0.0007526637315742423
cat__seller_state_PE,0.0007416421301454424
cat__seller_state_ES,0.0007137419041046141
cat__customer_state_RO,0.0004832143365066956
cat__seller_state_CE,0.0002652676809498956
cat__customer_state_AM,0.0002602041702563379
cat__seller_state_MT,0.00023576233438417257
cat__customer_state_RR,0.00022512747180383435
cat__seller_state_MS,0.00019788757318815647
cat__customer_state_AP,0.00015720188049263794
cat__customer_state_AC,0.00013338178470338478
cat__seller_state_RN,0.00012055351727108807
cat__seller_state_PA,6.176901646961483e-05
cat__seller_state_AM,5.1241601275639656e-05
cat__seller_state_PB,4.4648921118870486e-05
cat__seller_state_PI,2.7177679034093993e-05
cat__seller_state_SE,9.33546276681239e-06
cat__seller_state_RO,8.891524225625103e-06
cat__seller_state_AC,2.196873119470439e-07
